Entry	Gene ontology IDs
P18440	GO:0009987;GO:0008150;GO:0006805;GO:0044237;GO:0008152;
P01920	GO:0002684;GO:0006955;GO:0050896;GO:0050852;GO:0019884;GO:0002253;GO:0065007;GO:0019882;GO:0002682;GO:0002376;GO:0002757;GO:0008150;GO:0002764;GO:0006959;GO:0019221;GO:0007166;GO:0048518;GO:0002429;GO:0002504;GO:0002250;GO:0050789;GO:0060333;GO:0048002;GO:0009987;GO:0002478;GO:0050778;GO:0007165;GO:0002768;GO:0050794;GO:0048583;GO:0002495;GO:0050776;GO:0048584;GO:0019886;GO:0050851;
O75147	GO:0048814;GO:0022604;GO:0048646;GO:0036211;GO:0044237;GO:0050808;GO:0065007;GO:0006464;GO:0031344;GO:0007017;GO:0120035;GO:0034613;GO:0048522;GO:0051128;GO:0044267;GO:0051962;GO:0007010;GO:0051240;GO:0034329;GO:0030029;GO:0006807;GO:0071840;GO:0043687;GO:0007155;GO:0050793;GO:0050773;GO:0098609;GO:0050789;GO:0033043;GO:0007030;GO:0051130;GO:0009987;GO:0050794;GO:0010564;GO:0051783;GO:0031346;GO:2000026;GO:0008104;GO:0070727;GO:0033036;GO:0007416;GO:0022607;GO:0043412;GO:0043170;GO:0010770;GO:0097435;GO:0050767;GO:0000226;GO:0016043;GO:0050769;GO:0060284;GO:0033365;GO:0032502;GO:0022610;GO:0007156;GO:0006996;GO:0045597;GO:0010720;GO:0044238;GO:0051239;GO:0010975;GO:0008150;GO:0044260;GO:0007088;GO:0051179;GO:0010769;GO:0008152;GO:0007346;GO:0045595;GO:0048518;GO:0031032;GO:0051726;GO:1901564;GO:0098742;GO:0051960;GO:0030036;GO:0034330;GO:0051094;GO:0051641;GO:0071704;GO:0010927;GO:0019538;GO:0070925;GO:0022603;
P40227	GO:2000278;GO:0006457;GO:0031647;GO:0031323;GO:0050821;GO:0065007;GO:1904356;GO:2000573;GO:0010638;GO:0060255;GO:0048522;GO:0045935;GO:0009889;GO:0051128;GO:0032210;GO:1903829;GO:0032204;GO:0009891;GO:0065008;GO:0051052;GO:0050789;GO:0033043;GO:0051130;GO:0009987;GO:0050794;GO:0031328;GO:0060341;GO:0019219;GO:0010556;GO:0010604;GO:2001252;GO:0080090;GO:0032880;GO:0070201;GO:0031326;GO:0051171;GO:0033044;GO:1904951;GO:0009893;GO:1903827;GO:0008150;GO:0051054;GO:1900182;GO:0048518;GO:0051173;GO:2000112;GO:0019222;GO:0032879;GO:0010557;GO:0031325;GO:1900180;
Q15366	GO:0044265;GO:0010498;GO:0044237;GO:0051254;GO:0031323;GO:0043632;GO:0016071;GO:0006355;GO:0009607;GO:0050688;GO:0080134;GO:0001817;GO:0045935;GO:0009889;GO:0006396;GO:1903506;GO:0006807;GO:0045944;GO:0006950;GO:0044419;GO:0006139;GO:0050794;GO:0048583;GO:0006508;GO:0031328;GO:0002683;GO:0043170;GO:0019219;GO:0002831;GO:0010604;GO:0050896;GO:0010605;GO:0034641;GO:0051171;GO:0044238;GO:0009893;GO:0002376;GO:0008150;GO:0019941;GO:1903508;GO:1901565;GO:0008152;GO:2000112;GO:0019222;GO:0010629;GO:0032479;GO:0006725;GO:0009605;GO:0000398;GO:0090304;GO:0016032;GO:0031325;GO:0019538;GO:0046483;GO:0006955;GO:0031347;GO:0098542;GO:0051603;GO:0010468;GO:0065007;GO:0006357;GO:0009056;GO:0060255;GO:1902680;GO:0048522;GO:0043207;GO:0000375;GO:0045087;GO:0048585;GO:0016070;GO:0030163;GO:0050777;GO:0009057;GO:0009891;GO:0050789;GO:0009987;GO:0001818;GO:0010556;GO:1901575;GO:0006397;GO:0140546;GO:0043161;GO:0080090;GO:0032101;GO:0031326;GO:0032102;GO:0002682;GO:0051239;GO:0002832;GO:0009615;GO:0045893;GO:0044260;GO:0009892;GO:0008380;GO:0048518;GO:0051173;GO:0051241;GO:0051707;GO:0006952;GO:1901564;GO:0051607;GO:2001141;GO:0000377;GO:0006511;GO:0044248;GO:0051252;GO:0050776;GO:0071704;GO:0010557;GO:1901360;GO:0048519;GO:0031348;
Q9UBT6	GO:0046483;GO:0071478;GO:0044237;GO:0006283;GO:0006301;GO:0033554;GO:0009411;GO:0006260;GO:0006281;GO:0006289;GO:0009059;GO:0044249;GO:0009416;GO:0006807;GO:0006950;GO:0009987;GO:0000731;GO:0009628;GO:0006139;GO:0019438;GO:0043170;GO:1901362;GO:0071214;GO:0009058;GO:0034654;GO:0050896;GO:0034641;GO:0034645;GO:0044238;GO:0009314;GO:0008150;GO:0090305;GO:0044260;GO:0008152;GO:0006974;GO:0071897;GO:0006259;GO:0006725;GO:0071482;GO:0034644;GO:0018130;GO:0051716;GO:0071704;GO:0090304;GO:1901360;GO:0104004;GO:1901576;GO:0044271;
Q9BXJ4	GO:0031347;GO:0010647;GO:0051223;GO:0031323;GO:0031324;GO:0010468;GO:0065007;GO:0062012;GO:0006109;GO:0050708;GO:0051046;GO:0060255;GO:0048522;GO:0031327;GO:0080134;GO:0001817;GO:0009889;GO:0051050;GO:0048585;GO:1903532;GO:0062014;GO:0048869;GO:0051240;GO:0051047;GO:0065008;GO:0010628;GO:0050789;GO:0042592;GO:0009987;GO:0009966;GO:0032642;GO:0050794;GO:0001818;GO:0030154;GO:0048583;GO:0010646;GO:0048878;GO:0050728;GO:0055082;GO:0043255;GO:0046883;GO:0010817;GO:0001819;GO:0032502;GO:0010604;GO:1902531;GO:0010605;GO:0080090;GO:0070201;GO:0032880;GO:0055088;GO:0009968;GO:0032101;GO:0048523;GO:0031326;GO:0032102;GO:0010648;GO:1903530;GO:0023057;GO:0051049;GO:1902532;GO:1904951;GO:0051239;GO:0045912;GO:0009893;GO:0019725;GO:0008150;GO:0032675;GO:0010906;GO:0009892;GO:0009890;GO:0048518;GO:0051241;GO:0051222;GO:0019222;GO:0032879;GO:1901222;GO:0010629;GO:0023056;GO:0010675;GO:0050714;GO:0046887;GO:0050727;GO:0045444;GO:0048519;GO:0023051;GO:0031348;
Q6XZF7	GO:0032502;GO:0008360;GO:0022604;GO:0065008;GO:0007568;GO:0050793;GO:0050789;GO:0035556;GO:0065007;GO:0009987;GO:0007165;GO:0050794;GO:0008150;GO:0022603;
P31327	GO:0042493;GO:0002237;GO:0050801;GO:0032870;GO:0044237;GO:0072527;GO:0033993;GO:0009607;GO:0008652;GO:0006793;GO:0009991;GO:0070542;GO:0051384;GO:0048869;GO:0006807;GO:0065008;GO:0046683;GO:0046503;GO:0032496;GO:0006950;GO:0042592;GO:0048856;GO:1901605;GO:0014074;GO:0006139;GO:0019637;GO:0014070;GO:0032501;GO:0048878;GO:0010038;GO:0009636;GO:0006641;GO:1901362;GO:0031667;GO:0032502;GO:0016042;GO:0010035;GO:0050896;GO:0016053;GO:0071363;GO:0034641;GO:0010243;GO:0071495;GO:0044238;GO:0035295;GO:0044255;GO:0008150;GO:0003008;GO:0071375;GO:0043200;GO:0042594;GO:0071320;GO:0008152;GO:1901698;GO:0006629;GO:0006639;GO:0046486;GO:0044242;GO:1901652;GO:1901566;GO:0006725;GO:0009605;GO:1901607;GO:0043604;GO:0006796;GO:1901654;GO:0090407;GO:0051716;GO:0035150;GO:1901576;GO:0044271;GO:1901653;GO:0046483;GO:0043434;GO:0044283;GO:0051591;GO:0043436;GO:1901700;GO:0065007;GO:0006520;GO:0070887;GO:0009719;GO:0071407;GO:0097746;GO:0009056;GO:0048545;GO:0043207;GO:0010033;GO:0044249;GO:0030855;GO:0003018;GO:0035296;GO:0009064;GO:0009987;GO:0010043;GO:0030154;GO:0090066;GO:0031960;GO:0071310;GO:0009058;GO:1901575;GO:0044281;GO:0046394;GO:1901701;GO:0003013;GO:0071396;GO:0055086;GO:0006790;GO:0071417;GO:0006082;GO:0070848;GO:0042221;GO:0043603;GO:0009725;GO:1901564;GO:0044248;GO:0006638;GO:0001101;GO:0018130;GO:0071704;GO:1901699;GO:0019752;GO:1901360;
P00740	GO:0016485;GO:0050896;GO:0007596;GO:0051604;GO:0065007;GO:0044238;GO:0051234;GO:0008150;GO:0050817;GO:0006888;GO:0007599;GO:0051179;GO:0008152;GO:0046907;GO:0006807;GO:1901564;GO:0065008;GO:0016192;GO:0050878;GO:0006810;GO:0009987;GO:0048193;GO:0051641;GO:0032501;GO:0006508;GO:0071704;GO:0051649;GO:0019538;GO:0043170;
