Entry	Gene ontology IDs
Q16773	GO:0005829;GO:0043227;GO:0005737;GO:0005575;GO:0110165;GO:0005739;GO:0043229;GO:0043226;GO:0043231;
P04233	GO:0097708;GO:0031090;GO:0043227;GO:0016020;GO:0005575;GO:0031974;GO:1903561;GO:0005765;GO:0005764;GO:0005773;GO:0098796;GO:0032991;GO:0098552;GO:0043202;GO:0005634;GO:0016021;GO:0031300;GO:0098588;GO:0030659;GO:0009986;GO:0005768;GO:0012506;GO:0031224;GO:0030662;GO:0043231;GO:0012507;GO:0009897;GO:0031301;GO:0005886;GO:0000323;GO:0030176;GO:0098852;GO:0005775;GO:0070013;GO:0005770;GO:0043235;GO:0043230;GO:0098797;GO:0005774;GO:0031410;GO:0070062;GO:0032588;GO:0005737;GO:0031982;GO:0030669;GO:0110165;GO:0043233;GO:0043229;GO:0043226;GO:0030665;GO:0030658;GO:0065010;GO:0030666;GO:0000139;GO:0031227;
Q8TDR2	GO:0043227;GO:0005737;GO:0005654;GO:0005575;GO:0110165;GO:0016604;GO:0043228;GO:0043231;GO:0043229;GO:0043232;GO:0043226;GO:0005730;GO:0005634;
P35269	GO:0043227;GO:0005654;GO:0005575;GO:0005667;GO:0110165;GO:0043229;GO:0043226;GO:0090575;GO:0030054;GO:0032991;GO:0005634;GO:0043231;GO:0140513;
Q9Y2P8	GO:0005654;GO:0005575;GO:0110165;GO:0043228;GO:0043229;GO:0043232;GO:0043226;GO:0005730;
Q9C0H2	GO:1902495;GO:1990351;GO:0043227;GO:0065010;GO:0016020;GO:0031982;GO:0043230;GO:0005575;GO:0098796;GO:0110165;GO:0032991;GO:0070062;GO:0034702;GO:1903561;GO:0043226;GO:0005886;
Q8NG11	GO:0031090;GO:0016020;GO:0070013;GO:0031226;GO:0016021;GO:0005575;GO:0031974;GO:0110165;GO:0043233;GO:0005887;GO:0098588;GO:0030659;GO:0009986;GO:0012506;GO:0070821;GO:0031224;GO:0035579;GO:0030667;GO:0005788;GO:0005886;
O96007	GO:0005829;GO:0032991;GO:0016604;GO:0005654;GO:0016607;GO:0005575;GO:0110165;
O00408	GO:0031090;GO:0043227;GO:0016020;GO:0070013;GO:0019866;GO:0005741;GO:0005575;GO:0031974;GO:0005783;GO:0098590;GO:0005759;GO:0048471;GO:0019867;GO:0031966;GO:0005794;GO:0005634;GO:0005829;GO:0005737;GO:0005743;GO:0110165;GO:0043233;GO:0098588;GO:0031968;GO:0042734;GO:0043229;GO:0043226;GO:0043231;GO:0097060;GO:0005886;
Q9BVJ7	GO:0005829;GO:0005737;GO:0005654;GO:0005575;GO:0110165;
Q14209	GO:0000785;GO:0005654;GO:0005575;GO:0005667;GO:0110165;GO:0090575;GO:0032991;GO:0140513;
Q96KW2	GO:0005575;GO:0032991;GO:0005643;GO:0140513;
Q9H114	GO:0005576;GO:0005575;GO:0110165;
P69891	GO:0005829;GO:0005575;GO:0110165;GO:0032991;
Q8NFZ3	GO:0016020;GO:0016021;GO:0031226;GO:0005575;GO:0098793;GO:0110165;GO:0005887;GO:0045202;GO:0098590;GO:0009986;GO:0031224;GO:0030054;GO:0098982;GO:0098978;GO:0097060;GO:0005886;
P86791	GO:0005829;GO:0032991;GO:0031090;GO:0043227;GO:0098588;GO:0043231;GO:0016020;GO:0043229;GO:0043226;GO:0005765;GO:0005575;GO:0005774;GO:0098852;GO:0110165;
O60930	GO:0005737;GO:0005575;GO:0110165;
Q9BR26	GO:0031224;GO:0016021;GO:0005575;GO:0110165;
A0A0C4DH39	GO:0042571;GO:0019814;GO:0005575;GO:0110165;GO:0032991;GO:0098552;GO:0009897;
A6NDK9	GO:0031090;GO:0043227;GO:0043231;GO:0016020;GO:0031985;GO:0031984;GO:0098791;GO:0043229;GO:0043226;GO:0032580;GO:0005575;GO:0110165;GO:0005801;
Q8N149	GO:0031226;GO:0016021;GO:0005575;GO:0110165;GO:0005887;GO:0031224;GO:0005576;
Q9BRK3	GO:0031090;GO:0005911;GO:0043227;GO:0070161;GO:0065010;GO:0031224;GO:0016020;GO:0070013;GO:0060170;GO:0030054;GO:0031982;GO:0043230;GO:0016021;GO:0005575;GO:0031974;GO:0110165;GO:0043233;GO:0005788;GO:0070062;GO:0098588;GO:0043231;GO:0070160;GO:1903561;GO:0098590;GO:0043229;GO:0043226;GO:0009986;GO:0005923;GO:0031253;GO:0005634;
Q9P2I0	GO:0016020;GO:0005654;GO:0005575;GO:0110165;GO:0032991;GO:0140513;
Q8NGC1	GO:0016021;GO:0005575;GO:0031224;GO:0005886;GO:0016020;GO:0110165;
Q6VB84	GO:0043227;GO:0000785;GO:0005575;GO:0110165;GO:0005634;GO:0043231;GO:0043229;GO:0043226;
P47914	GO:0005840;GO:0005829;GO:0016020;GO:0005575;GO:0110165;GO:0043228;GO:0015934;GO:0043229;GO:0043226;GO:0044391;GO:0022626;GO:1990904;GO:0032991;GO:0022625;GO:0043232;
O60303	GO:0043228;GO:0005615;GO:0005737;GO:0042995;GO:0043229;GO:0043232;GO:0043226;GO:0005856;GO:0005575;GO:0110165;
A6NFQ2	GO:0016020;GO:0030054;GO:0005575;GO:0110165;GO:0005886;
Q16690	GO:0043227;GO:0005737;GO:0005654;GO:0005575;GO:0110165;GO:0005634;GO:0043231;GO:0043229;GO:0043226;
P17181	GO:0097708;GO:0005768;GO:0043227;GO:0005764;GO:0005773;GO:0031224;GO:0016020;GO:0031982;GO:0031226;GO:0016021;GO:0005575;GO:0031410;GO:0110165;GO:0005770;GO:0005887;GO:0043231;GO:0043229;GO:0043226;GO:0005886;GO:0000323;
Q9NQ39	GO:0032991;GO:0015935;GO:1990904;GO:0005575;GO:0044391;
O95050	GO:0005829;GO:0005575;GO:0110165;
O95685	GO:0043227;GO:0005575;GO:0110165;GO:0043229;GO:0043226;GO:1902494;GO:0032991;GO:0043231;
Q3MII6	GO:0097708;GO:0043227;GO:0005773;GO:0005776;GO:0031982;GO:0005575;GO:0031410;GO:0110165;GO:0043231;GO:0043229;GO:0043226;
Q9UGM5	GO:0043227;GO:0065010;GO:0031982;GO:0043230;GO:0005575;GO:0110165;GO:0070062;GO:0005576;GO:1903561;GO:0043226;
A0A1B0GTR0	GO:0005576;GO:0005575;GO:0110165;
Q9UBY0	GO:0031224;GO:0016020;GO:0016021;GO:0005575;GO:0110165;GO:0005886;
Q9Y2T3	GO:0005829;GO:0005575;GO:0110165;GO:0005622;
P51580	GO:0005829;GO:0005575;GO:0110165;
O75072	GO:0043227;GO:0016021;GO:0031300;GO:0005575;GO:0110165;GO:0005783;GO:0005615;GO:0031228;GO:0043229;GO:0043226;GO:0030173;GO:0031224;GO:0005801;GO:0043231;GO:0005794;GO:0031301;GO:0005634;
P43308	GO:0005783;GO:0031090;GO:0043227;GO:0031224;GO:0043231;GO:0016020;GO:0043229;GO:0043226;GO:0005575;GO:0016021;GO:0005789;GO:0110165;
P15515	GO:0005576;GO:0005615;GO:0005575;GO:0110165;
