Entry	Gene ontology IDs
Q96EP1	GO:0003674;GO:0005488;GO:1901363;GO:0043169;GO:0046872;GO:0061659;GO:1901265;GO:0016740;GO:0043167;GO:0061630;GO:0019787;GO:0097159;GO:0140096;GO:0003824;GO:0004842;GO:0000166;GO:0036094;
Q7Z5M8	GO:0003674;GO:0052689;GO:0016298;GO:0016787;GO:0140096;GO:0003824;GO:0004620;GO:0016788;
O43426	GO:0003674;GO:0003723;GO:0005488;GO:0097159;GO:1901363;GO:0003676;GO:0003824;GO:0005515;GO:0016787;GO:0019904;GO:0016791;GO:0042578;GO:0016788;GO:0017124;
Q9BY66	GO:0003674;GO:0005488;GO:0008134;GO:0140297;GO:0016922;GO:0005515;GO:0097159;GO:0016491;GO:0140096;GO:0003677;GO:1901363;GO:0003676;GO:0043169;GO:0003824;GO:0061629;GO:0043167;GO:0046872;GO:0051213;
A6NET4	GO:0004984;GO:0004888;GO:0038023;GO:0060089;GO:0003674;GO:0005549;GO:0004930;GO:0005488;
P05783	GO:0003674;GO:0050839;GO:0003723;GO:0005488;GO:0045296;GO:0098631;GO:0097159;GO:1901363;GO:0003676;GO:0005198;GO:0005515;GO:0097110;
Q13895	GO:0003674;GO:0003723;GO:0005488;GO:0097159;GO:1901363;GO:0003676;
Q86TW2	GO:0003674;GO:0005524;GO:0017076;GO:0035639;GO:0097367;GO:0030554;GO:0005488;GO:0032559;GO:0000166;GO:0032555;GO:0016773;GO:0016301;GO:0097159;GO:0140096;GO:1901363;GO:0016772;GO:0004674;GO:1901265;GO:0004672;GO:0043168;GO:0003824;GO:0016740;GO:0032553;GO:0036094;GO:0043167;
Q86VW1	GO:0003674;GO:0005215;GO:0022857;GO:0008324;GO:0015075;
Q8WUH1	GO:0003674;GO:0008270;GO:0005488;GO:0046914;GO:0043169;GO:0046872;GO:0043167;
Q96MG7	GO:0003674;GO:0005488;GO:0046983;GO:0005515;
O60779	GO:0003674;GO:0005215;GO:0022857;GO:0005342;GO:0008509;GO:0046943;GO:0015075;GO:0008514;
P0CG40	GO:0000978;GO:0003674;GO:0000976;GO:0005488;GO:1990837;GO:0000987;GO:0097159;GO:0003690;GO:0003677;GO:0043565;GO:1901363;GO:0003676;GO:0001067;GO:0140110;GO:0043169;GO:0000981;GO:0003700;GO:0000977;GO:0046872;GO:0043167;
Q8NGS2	GO:0004984;GO:0004888;GO:0038023;GO:0060089;GO:0003674;GO:0004930;
Q5VY43	GO:0060089;GO:0038023;GO:0003674;
Q96EK2	GO:0043169;GO:0046872;GO:0043167;GO:0003674;GO:0005488;
A4IF30	GO:0005215;GO:0022857;GO:0003674;
O95801	GO:0003674;GO:0005488;GO:0031072;GO:0005515;
Q7Z3D6	GO:0003674;GO:0016829;GO:0016835;GO:0016836;GO:0003824;
Q9NQZ8	GO:0000978;GO:0003674;GO:0000976;GO:0005488;GO:0001216;GO:1990837;GO:0000987;GO:0097159;GO:0003690;GO:0003677;GO:0043565;GO:1901363;GO:0003676;GO:0001067;GO:0000981;GO:0140110;GO:0043169;GO:0001228;GO:0003700;GO:0000977;GO:0046872;GO:0043167;
Q9H628	GO:0097159;GO:0016787;GO:0003674;GO:0016462;GO:0017076;GO:1901363;GO:0035639;GO:0003924;GO:0019001;GO:0097367;GO:0005488;GO:1901265;GO:0016817;GO:0017111;GO:0003824;GO:0000166;GO:0032555;GO:0043168;GO:0032561;GO:0032553;GO:0005525;GO:0036094;GO:0043167;GO:0098772;GO:0016818;
P15408	GO:0003674;GO:0000976;GO:0005488;GO:0000987;GO:0097159;GO:0003677;GO:1901363;GO:0003676;GO:0001067;GO:0140110;GO:0003682;GO:0000978;GO:0001216;GO:1990837;GO:0003690;GO:0043565;GO:0000981;GO:0001228;GO:0003700;GO:0000977;
Q8IUH3	GO:0097159;GO:0003674;GO:0003723;GO:1901363;GO:0005488;GO:0003676;GO:0042802;GO:0005515;
P11274	GO:0019899;GO:0003674;GO:0005524;GO:0035639;GO:0097367;GO:0008047;GO:0005488;GO:0005096;GO:0016301;GO:0097159;GO:0140096;GO:0106310;GO:1901363;GO:0106311;GO:0016772;GO:0003824;GO:0043168;GO:0005085;GO:0030234;GO:0030695;GO:0017076;GO:0060589;GO:0030554;GO:0032559;GO:0000166;GO:0032555;GO:0016773;GO:0036094;GO:0005515;GO:0004674;GO:1901265;GO:0004672;GO:0016740;GO:0032553;GO:0043167;GO:0098772;
